,fes_youth,fes_p_ss_fc_pr,macv_p_ss_fs,macv_p_ss_fo,macv_p_ss_isr,macv_p_ss_fr,macv_p_ss_r,demo_prnt_age_v2,demo_prnt_marital_v2,demo_comb_income_v2,demo_fam_exp,demo_yrs_1,demo_yrs_2,parent_rules_q1,parent_rules_q4,parent_rules_q7,y
60,1,1.0,4.0,3.0,4.4,2.4,3.0,36.0,1,9,1,1,3,2,0,2,0
61,2,6.0,4.83,4.6,4.8,4.2,3.14,29.0,3,2,1,0,1,0,0,0,0
62,3,6.0,4.5,3.8,4.0,3.8,4.29,32.0,5,7,0,1,4,2,2,2,0
63,1,0.0,3.67,3.0,3.8,2.8,1.43,36.0,1,8,0,0,1,0,0,0,1
64,0,1.0,4.0,3.2,3.8,3.8,3.43,44.0,1,9,0,3,2,0,0,0,0
65,2,0.0,3.5,2.4,2.8,2.0,4.57,43.0,1,10,0,2,4,0,0,0,0
66,1,3.0,5.0,5.0,3.4,4.2,5.0,43.0,1,8,0,3,4,0,0,0,0
67,0,4.0,4.5,3.0,2.6,3.2,4.71,45.0,1,9,0,2,3,0,0,0,1
68,1,4.0,4.33,4.4,4.4,4.0,3.86,30.0,5,6,1,0,1,0,0,0,0
69,0,3.0,4.17,3.0,3.6,3.6,4.14,38.0,1,9,0,3,3,2,2,2,0
70,2,1.0,4.83,3.6,4.0,4.0,3.57,41.0,1,9,0,2,3,0,0,0,0
71,0,2.0,4.67,4.2,4.0,3.2,4.14,44.0,1,8,1,3,4,0,0,0,0
72,2,4.0,4.17,3.8,4.6,3.4,2.43,30.0,4,1,1,1,3,0,0,0,1
73,0,3.0,3.0,3.2,2.4,2.0,4.57,45.0,1,9,0,3,4,0,0,0,1
74,2,2.0,4.83,3.6,3.6,3.4,5.0,40.0,1,10,0,3,4,0,0,0,1
75,0,0.0,4.5,3.8,3.4,4.0,4.14,49.0,1,8,0,3,4,0,0,2,0
76,1,3.0,4.83,4.2,3.8,4.0,1.57,42.0,1,9,0,4,3,0,0,2,1
77,0,5.0,4.17,4.4,3.0,3.2,5.0,44.0,5,7,0,3,4,2,0,2,0
78,1,3.0,4.67,3.8,3.2,3.8,4.71,52.0,1,10,0,3,4,0,0,0,1
79,0,3.0,5.0,3.6,3.6,2.8,4.29,36.0,1,8,0,2,4,0,0,0,0
